mobile,review_rating,Brand_x,Model_x,Brand_y,Model_y
https://gadgets.ndtv.com/alcatel-u5-hd-4336,5.586679946211196,Alcatel,U5 HD,Alcatel,U5 HD
https://gadgets.ndtv.com/alcatel-idol-4-pro-4273,0.0,Alcatel,Idol 4 Pro ,Alcatel,Idol 4 Pro 
https://gadgets.ndtv.com/alcatel-a30-plus-4235,0.0,Alcatel,A30 Plus,Alcatel,A30 Plus
https://gadgets.ndtv.com/alcatel-idol-5s-4234,0.0,Alcatel,Idol 5S,Alcatel,Idol 5S
https://gadgets.ndtv.com/alcatel-a50-4233,0.0,Alcatel,A50,Alcatel,A50
https://gadgets.ndtv.com/alcatel-flash-4091,0.0,Alcatel,Flash,Alcatel,Flash
https://gadgets.ndtv.com/alcatel-u5-4043,6.0,Alcatel,U5,Alcatel,U5
https://gadgets.ndtv.com/alcatel-a5-led-4041,2.3972319814539196,Alcatel,A5 LED,Alcatel,A5 LED
https://gadgets.ndtv.com/alcatel-a3-4037,0.0,Alcatel,A3,Alcatel,A3
https://gadgets.ndtv.com/alcatel-a3-xl-3953,-0.6000000000000001,Alcatel,A3 XL,Alcatel,A3 XL
https://gadgets.ndtv.com/alcatel-idol-4s-windows-10-3860,0.0,Alcatel,Idol 4S (Windows 10),Alcatel,Idol 4S (Windows 10)
https://gadgets.ndtv.com/alcatel-pixi-4-plus-power-3800,0.0,Alcatel,Pixi 4 Plus Power,Alcatel,Pixi 4 Plus Power
https://gadgets.ndtv.com/alcatel-pixi-4-5-3794,0.0,Alcatel,Pixi 4 (5),Alcatel,Pixi 4 (5)
https://gadgets.ndtv.com/alcatel-xl-3758,0.0,Alcatel,XL,Alcatel,XL
https://gadgets.ndtv.com/alcatel-shine-lite-3749,0.0,Alcatel,Shine Lite,Alcatel,Shine Lite
https://gadgets.ndtv.com/alcatel-x1-3548,0.0,Alcatel,X1,Alcatel,X1
https://gadgets.ndtv.com/alcatel-pop-star-3514,7.0,Alcatel,Pop Star,Alcatel,Pop Star
https://gadgets.ndtv.com/alcatel-pop-4s-3328,0.0,Alcatel,Pop 4S,Alcatel,Pop 4S
https://gadgets.ndtv.com/alcatel-pop-4-3327,0.0,Alcatel,Pop 4+,Alcatel,Pop 4+
https://gadgets.ndtv.com/alcatel-pop-4-3326,2.8200000000000003,Alcatel,Pop 4,Alcatel,Pop 4
https://gadgets.ndtv.com/alcatel-plus-10-3309,0.0,Alcatel,Plus 10,Alcatel,Plus 10
https://gadgets.ndtv.com/alcatel-onetouch-fierce-xl-3216,0.0,Alcatel,OneTouch Fierce XL,Alcatel,OneTouch Fierce XL
